"admin","Admin"
"aplicacao","Aplicação"
"aplicacao_id","Aplicação"
"arquivo","Arquivo"
"arquivo_swf","Caminho do SWF"
"atividade","Atividade"
"atributo_id","Atributo"
"bairro","Bairro"
"categoria","Categoria"
"categoria_id","Categoria"
"cep","CEP"
"chave","Chave"
"cidade","Cidade"
"cidade_id","Cidade"
"cliente","Cliente"
"conteudo","Conteúdo"
"crea_sc","CREA/SC"
"data","Data"
"data_cadastro","Data de Cadastro"
"data_inicio","Data de Início"
"data_fim","Data de Fim"
"data_criacao","Data de criação"
"data_nascimento","Data de nascimento"
"data_publicacao","Data de publicação"
"data_solicitacao","Data da solicitação"
"data_treinamento","Data desejada"
"deixe-seu-imovel","Deixe Seu Imóvel"
"departamento_id","Departamento"
"descricao","Descrição"
"destaque","Destaque"
"destaque_categoria_id","Categoria"
"documento","Documento"
"email","E-mail"
"empresa","Empresa"
"endereco","Endereço"
"engenheiro","Engenheiro"
"estado","Estado"
"estado_id","Estado"
"evento_id","Evento"
"evento_categoria_id","Categoria"
"fale-conosco","Fale Conosco" 
"fechar","Fechar"
"ficha_fispq","FISPQ"
"ficha_tecnica","Ficha Técnica"
"filial","Filial"
"fim_de","Fim de"
"fim_ate","Fim até"
"flutuante","Flutuante"
"galeria_id","Galeria"
"google_maps","Google Maps"
"hora","Horário"
"imagem","Imagem"
"imagem_galeria_id","Galeria"
"impermeabilizacao_id","Impermeabilização"
"impermeabilizacao","Impermeabilização"
"imprensa","Imprensa"
"individual","Individual"
"inicio_de","Início de"
"inicio_ate","Início até"
"latitude","Latitude"
"link","Link"
"lista","Lista"
"local_aplicacao","Locais de Aplicação"
"local","Local"
"logo","Logo"
"localizacao","Localização"
"longitude","Longitude"
"loteamento_id","Loteamento"
"mensagem","Mensagem"
"menu","Menu"
"nao","Não"
"Nao","Não"
"nome","Nome"
"newsletter_perfil_id","Perfil"
"newsletter_perfil","Perfil"
"ordem","Ordem"
"pagina","Conteúdos"
"pagina_id","Categoria"
"pergunta","Pergunta"
"pergunta_categoria_id","Categoria"
"plantao","Plantão"
"newsletter_perfil_id","Perfil"
"placa","Código Imóvel"
"produto_aplicacao","Aplicação"
"produto_categoria_id","Categoria"
"produto_dado_tipo_id","Tipo de Dado"
"produto_id","Produto Utilizado"
"produto_relacionado","Produtos Relacionados"
"publicacao_de","Publicação de"
"publicacao_ate","Publicação até"
"publicado","Publicado"
"referencia","Referência"
"repete_senha","Repete Senha"
"respondido","Respondido"
"resposta","Resposta"
"resumo","Resumo"
"sede","Sede"
"senha","Senha"
"sim","Sim"
"site","Site"
"solucao","Descrição"
"status","Status (%)"
"telefonamos-voce","Telefonamos para Você"
"telefone","Telefone"
"texto","Texto"
"tipo_aplicacao","Tipos de Aplicação"
"tipo","Tipo"
"titulo","Titulo"
"trabalhe-conosco","Trabalhe Conosco"
"treinamento_id","Treinamento"
"url","Url"
"usuario_id","Usuário"
"valor","Valor"
"Value is required and can't be empty","O campo é obrigatório e não pode estar vazio"
"'%value%' is more than %max% characters long","'%value%' é maior que %max% caracteres"
"'%value%' does not fit the date format '%format%'","'%value%' não está no formato da data '%format%'"
"'%value%' does not appear to be a valid date","'%value%' não é uma data válida"
"'%value%' was not found in the haystack","'%value%' não foi encontrado no sistema"
"'%value%' contains characters which are non alphabetic and no digits","'%value%' contém caracteres que não são letras ou números"
"The two given tokens do not match","Os dois campos não conferem"
"'%value%' is no valid email address in the basic format local-part@hostname","'%value%' não é um endereço de e-mail válido"
"'%value%' does not match against pattern '%pattern%'", "'%value%' não é um valor válido"
"'%value%' does not appear to be an integer","'%value%' não é um número inteiro"
"Invalid URI","A url informada é inválida"
"A record matching '%value%' was found","'%value%' já existe"
"'%hostname%' is no valid hostname for email address '%value%'","'%hostname%' não é um hostname válido para '%value%'"
"SALA_TV","Sala de TV"
"CHURRASQUEIRA_COLETIVA","Churrasqueira Coletiva"
"SAUNA","Sauna"
"TERRACO_COL","Terraço Coletivo"
"VLR_ALUGUEL","Valor do Aluguél"
"TX_LIXO","Taxa de Lixo"
"CATEGORIA","Categoria"
"LIVING_PISCINA","Living Piscina"
"SALA_GINASTICA","Sala de Ginástica"
"POSICAO_ANDAR","Posição do Andar"
"COMP_ENDERECO","Complemento do Enderço"
"ESTADO_EDIFICIO","Estado do Edifício"
"PAVIMENTACAO","Pavimentação"
"GABINETE","Gabinete"
"VLR_IPTU","Valor do IPTU"
"SALA_QNT","Quantidade de Salas"
"GRADIL","Gradil"
"DEPOSITO","Depósito"
"ESPACO_GOURMET","Espaço Gourmet"
"LIVING_SUITE_MASTER","Living Suite Master"
"COZIHA_MONTADA","Cozinha Montada"
"PISO","Piso"
"VARANDA","Varanda"
"PORTEIRO_EL","Porteiro Elevador"
"ELEVADOR_SERVICO","Elevador de Serviço"
